item,itemLabel,position,positionLabel,startDate,endDate
Q16594097,Luis Abinader,,Presidente de la República Dominicana,2020-08-16,
Q87594839,Raquel Peña,,Vicepresidenta de la República Dominicana,2020-08-16,
Q113579861,Joel Santos,,Ministro de la Presidencia,2022-08-22,
Q101068319,"Teniente General, Carlos Luciano Díaz Morfa, ERD",,Ministro de Defensa,2020-08-16,
Q98222557,Roberto Álvarez Gil,,Canciller de la República Dominicana,2020-08-16,
Q98432253,Miriam Germán Brito Yeni Berenice Reynoso,,Procuradora General de la República,2020-08-16,
,Jesús (Chú) Vásquez Martínez,,Ministro de Interior y Policía,2020-08-16,
,Jochi Vicente,,Ministro de Hacienda,2020-08-16,
Q5923172,Víctor (Itó) Bisonó,,"Ministro de Industria, Comercio y MiPymes",2020-08-16,
Q113992521,Pavel Isa Contreras,,"Ministro de Economía, Planificación y Desarrollo",2022-07-07,
Q17518389,José Ignacio Paliza,,Ministro Administrativo de la Presidencia,2020-08-16,
,Ángel Enrique Hernández,,Ministro de Educación,2022-08-03,
,Daniel Enrique Rivera,,Ministro de Salud Pública y Asistencia Social,2021-03-01,
,Deligne Ascensión Burgos,,Ministro de Obras Públicas y Comunicaciones,2020-08-16,
,Miguel Ceara Hatton,,Ministro de Medio Ambiente y Recursos Naturales,2022-07-07,
,Limber Cruz,,Ministro de Agricultura,2020-08-16,
Q33126432,David Collado,,Ministro de Turismo,2020-08-16,
Q5491525,Franklin García Fermín,,"Ministro de Educación Superior, Ciencia y Tecnología",2020-08-16,
,Francisco Camacho,,"Ministro de Deportes, Educación Física y Recreación",2020-08-16,
,Luis Miguel de Camps,,Ministro de Trabajo,2020-08-16,
Q6016261,Milagros Germán,,Ministra de Cultura,2021-10-10,
,Darío Castillo Lugo,,Ministro de Administración Pública,2020-08-16,
,Mayra Jiménez,,Ministra de la Mujer,2020-08-16,
,Rafael Féliz García,,Ministro de la Juventud,2021-12-15,
,Antonio Almonte,,Ministro de Energía y Minas,2020-08-16,
Q98492193,Carlos Bonilla Sánchez,,"Ministro de la Vivienda, Hábitat y Edificaciones",2021-08-11,
