item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q101068319,"Teniente General, Carlos Luciano Díaz Morfa, ERD",Q113992465,Ministro de Defensa,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q101068319-357381EA-124C-4C40-971B-45D35DD82604
Q113579861,Joel Santos,Q113992448,Ministro de la Presidencia,2022-08-22,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113579861-E121019C-B5B5-48DC-B92D-297F1EDCA2D8
Q113992509,Antonio Almonte,Q113992403,Ministro de Energía y Minas,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992509-C7CAFC37-AA79-44FD-A3C3-6578340CEF38
Q113992510,Daniel Enrique Rivera,Q113992409,Ministro de Salud Pública y Asistencia Social,2021-03-01,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992510-3F72270A-6200-4463-A1AC-5991C3B85F05
Q113992511,Darío Castillo Lugo,Q113992462,Ministro de Administración Pública,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992511-53A1F6EB-A01F-4186-9BDF-8C8C3536E8BA
Q113992512,Deligne Ascensión Burgos,Q113992468,Ministro de Obras Públicas y Comunicaciones,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992512-D876825A-DEDD-4829-A08C-194959492877
Q113992513,Francisco Camacho,Q113992466,"Ministro de Deportes, Educación Física y Recreación",2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992513-76F65D07-0F98-4FBA-A99C-FB06BA99EB10
Q113992514,Jesús (Chú) Vásquez Martínez,Q113992408,Ministro de Interior y Policía,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992514-09AA3552-B11E-4137-8F9F-4250D34458FB
Q113992515,Jochi Vicente,Q113992405,Ministro de Hacienda,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992515-65560E18-422A-49F3-9CEA-20B4410DAFA8
Q113992516,Limber Cruz,Q113992464,Ministro de Agricultura,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992516-362CCB56-8BB9-4049-9858-424C17ED3CC7
Q113992517,Luis Miguel de Camps,Q113992470,Ministro de Trabajo,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992517-417C2321-8FAD-481A-AB46-73BD0F0AFF0D
Q113992518,Mayra Jiménez,Q113992461,Ministra de la Mujer,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992518-FBE9B44B-DBEC-4ECB-90C3-AE58B5E12119
Q113992519,Miguel Ceara Hatton,Q113992404,Ministro de Medio Ambiente y Recursos Naturales,2022-07-07,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992519-ED78CD5B-B985-4850-9958-4DDCDF71FED5
Q113992521,Pavel Isa Contreras,Q113992401,"Ministro de Economía, Planificación y Desarrollo",2022-07-07,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992521-515879E8-61ED-4CC3-9A20-D54A7D4074C7
Q113992522,Rafael Féliz García,Q113992471,Ministro de la Juventud,2021-12-15,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992522-CFBC55A6-64F3-44E2-9DBB-35392658EE44
Q113992523,Ángel Enrique Hernández,Q113992402,Ministro de Educación,2022-08-03,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q113992523-DD888FAB-20E4-407D-AC7A-D55540C1F080
Q16594097,Luis Abinader,Q607982,Presidente de la República Dominicana,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q16594097-c06912b5-4876-e470-c462-c120f3a9a3e6
Q17518389,José Ignacio Paliza,Q113992448,Ministro Administrativo de la Presidencia,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q17518389-D105BFE3-B818-479B-8E67-A010848A7857
Q33126432,David Collado,Q113992410,Ministro de Turismo,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q33126432-6E2E6EE1-0729-4717-B883-2ECCF5B4EE55
Q5491525,Franklin García Fermín,Q113992446,"Ministro de Educación Superior, Ciencia y Tecnología",2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q5491525-518554DD-74EA-4A3E-A858-8564041E4DE4
Q5923172,Víctor (Itó) Bisonó,Q113992406,"Ministro de Industria, Comercio y MiPymes",2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q5923172-2882D87B-21D7-4559-B802-A0199C782F10
Q6016261,Milagros Germán,Q113992451,Ministra de Cultura,2021-09-06,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q6016261-FD478BE5-9B2B-4CAA-9147-01BB6BF0ABC0
Q87594839,Raquel Peña,Q52229486,Vicepresidenta de la República Dominicana,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q87594839-FADD93EC-6694-4219-8371-80297068665D
Q98222557,Roberto Álvarez Gil,Q28662562,Canciller de la República Dominicana,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q98222557-2569b495-4f0b-34e4-d7a0-c39ed2750ee1
Q98432253,Miriam Germán Brito Yeni Berenice Reynoso,Q113992411,Procuradora General de la República,2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q98432253-D68AFE4C-275D-454E-AB62-6B5D4F608316
Q98492193,Carlos Bonilla Sánchez,Q113992444,"Ministro de la Vivienda, Hábitat y Edificaciones",2020-08-16,,https://es.wikipedia.org/wiki/Gabinete_de_la_Rep%C3%BAblica_Dominicana,Q98492193-07A2BE19-9547-406D-94E2-F6B5F6291F63
