item,itemLabel,position,positionLabel,start,psid
Q101068319,Carlos Luciano Díaz Morfa,Q113992465,Minister of Defence of the Dominican Republic,2020-08-16,Q101068319-357381EA-124C-4C40-971B-45D35DD82604
Q113579861,Joel Adrián Santos Echavarría,Q113992448,Minister of the Presidency of the Dominican Republic,2022-08-22,Q113579861-E121019C-B5B5-48DC-B92D-297F1EDCA2D8
Q113992509,Antonio Almonte,Q113992403,Minister of Energy and Mining Of the Dominican Republic,2020-08-16,Q113992509-C7CAFC37-AA79-44FD-A3C3-6578340CEF38
Q113992510,Daniel Enrique Rivera,Q113992409,Minister of Public Health of the Dominican Republic,2021-03-01,Q113992510-3F72270A-6200-4463-A1AC-5991C3B85F05
Q113992511,Darío Castillo Lugo,Q113992462,Minister of Public Administration of the Dominican Republic,2020-08-16,Q113992511-53A1F6EB-A01F-4186-9BDF-8C8C3536E8BA
Q113992512,Deligne Ascensión Burgos,Q113992468,Minister of Public Works and Communications of the Dominican Republic,2020-08-16,Q113992512-D876825A-DEDD-4829-A08C-194959492877
Q113992513,Francisco Camacho,Q113992466,Minister of Sport of the Dominican Republic,2020-08-16,Q113992513-76F65D07-0F98-4FBA-A99C-FB06BA99EB10
Q113992514,Jesús (Chú) Vásquez Martínez,Q113992408,Minister of Internal Affairs and Police of the Dominican Republic,2020-08-16,Q113992514-09AA3552-B11E-4137-8F9F-4250D34458FB
Q113992515,Jochi Vicente,Q113992405,Minister of Finance of the Dominican Republic,2020-08-16,Q113992515-65560E18-422A-49F3-9CEA-20B4410DAFA8
Q113992516,Limber Cruz,Q113992464,Minister of Agriculture of the Dominican Republic,2020-08-16,Q113992516-362CCB56-8BB9-4049-9858-424C17ED3CC7
Q113992517,Luis Miguel de Camps,Q113992470,Minister of Labour of the Dominican Republic,2020-08-16,Q113992517-417C2321-8FAD-481A-AB46-73BD0F0AFF0D
Q113992518,Mayra Jiménez,Q113992461,Minister for Women of the Dominican Republic,2020-08-16,Q113992518-FBE9B44B-DBEC-4ECB-90C3-AE58B5E12119
Q113992519,Miguel Ceara Hatton,Q113992404,Minister of Environment and Natural Resources of the Dominican Republic,2022-07-07,Q113992519-ED78CD5B-B985-4850-9958-4DDCDF71FED5
Q113992521,Pavel Isa Contreras,Q113992401,Minister of Economy of the Dominican Republic,2022-07-07,Q113992521-515879E8-61ED-4CC3-9A20-D54A7D4074C7
Q113992522,Rafael Féliz García,Q113992471,Minister of Youth of the Dominican Republic,2021-12-15,Q113992522-CFBC55A6-64F3-44E2-9DBB-35392658EE44
Q113992523,Ángel Enrique Hernández,Q113992402,Minister of Education of the Dominican Republic,2022-08-03,Q113992523-DD888FAB-20E4-407D-AC7A-D55540C1F080
Q16594097,Luis Abinader,Q607982,Q607982,2020-08-16,Q16594097-c06912b5-4876-e470-c462-c120f3a9a3e6
Q17518389,José Ignacio Paliza,Q113992686,Administrative Minister of the Presidency of the Dominican Republic,2020-08-16,Q17518389-D105BFE3-B818-479B-8E67-A010848A7857
Q33126432,David Collado,Q113992410,Minister of Tourism of the Dominican Republic,2020-08-16,Q33126432-6E2E6EE1-0729-4717-B883-2ECCF5B4EE55
Q5491525,Franklin García Fermín,Q113992446,"Minister of Higher Education, Science and Technology of the Dominican Republic",2020-08-16,Q5491525-518554DD-74EA-4A3E-A858-8564041E4DE4
Q5923172,Victor Bisono,Q113992406,Minister of Industry and Trade of the Dominican Republic,2020-08-16,Q5923172-2882D87B-21D7-4559-B802-A0199C782F10
Q6016261,Milagros Germán,Q113992451,Minister of Culture of the Dominican Republic,2021-09-06,Q6016261-FD478BE5-9B2B-4CAA-9147-01BB6BF0ABC0
Q87594839,Raquel Peña de Antuña,Q52229486,Vice President of the Dominican Republic,2020-08-16,Q87594839-FADD93EC-6694-4219-8371-80297068665D
Q98222557,Roberto Álvarez Gil,Q28662562,Minister of Foreign Affairs,2020-08-16,Q98222557-2569b495-4f0b-34e4-d7a0-c39ed2750ee1
Q98432253,Miriam Germán,Q113992411,Attorney General of the Dominican Republic,2020-08-16,Q98432253-D68AFE4C-275D-454E-AB62-6B5D4F608316
Q98492193,Carlos Bonilla Sánchez,Q113992444,"Minister of Housing, Habitat and Buildings of the Dominican Republic",2020-08-16,Q98492193-07A2BE19-9547-406D-94E2-F6B5F6291F63
